LOCATION,TIME,BEEF,PIG,POULTRY,SHEEP,BEEF_co2,PIG_co2,POULTRY_co2,SHEEP_co2,total_meat_kt,total_co2_Mt
ARG,1990,2588.9221,153.6311,321.0001,0.0001,257.545970508,1.8911988410000002,3.1682709869999996,3.972e-06,3063.5534,262.605444308
ARG,1991,2448.6671,153.1611,333.8001,88.230945029262,243.59340310800005,1.8854131410000003,3.294606987,3.5045331365622867,3023.8592450292617,252.27795637256233
ARG,1992,2441.8821,192.8641,382.0401,72.1558151927201,242.918431308,2.374157071,3.7707357869999996,2.866028979454842,3088.94211519272,251.92935314545488
ARG,1993,2507.8671,211.2571,596.1001,72.1333753897173,249.48261910800002,2.6005749010000003,5.883507987,2.8651376704795712,3387.3576753897173,260.83183966647954
ARG,1994,2388.2241,213.3261,719.0101,92.8066456784316,237.58053346800003,2.6260442910000004,7.096629686999999,3.686279966347303,3413.3669456784314,250.98948741234733
ARG,1995,2173.9381,227.0951,738.5951,88.3768512095886,216.263362188,2.795540681,7.289933636999999,3.510328530044859,3228.0051512095883,229.85916503604486
ARG,1996,2226.4991,220.9001,786.2191,71.5666464412323,221.49213046800003,2.7192802310000004,7.759982516999999,2.8426271966457466,3305.1849464412326,234.81402041264576
ARG,1997,2285.1481,217.0001,770.0861,65.8469219569463,227.326532988,2.6712712310000004,7.600749807,2.615439740129907,3338.0812219569466,240.2139937661299
ARG,1998,2144.9078068225,253.1201,811.5571,58.2392325105131,213.3754286227023,3.1159084310000003,8.010068576999998,2.31326231531758,3267.824239333013,226.81466794601988
ARG,1999,2383.9078068225,287.4521,954.82259870048,55.3515586763712,237.1511486227023,3.538535351,9.424099049173735,2.198563910625464,3681.5340641993507,252.31234693350152
ARG,2000,2385.10737074795,283.1041,959.5784150608,59.1641875720658,237.27048124200607,3.4850114710000004,9.471038956650096,2.3500015303624537,3686.9540733808158,252.57653320001862
ARG,2001,2342.40633031546,228.5571,932.88775955712,59.1529820593844,233.02258173978194,2.813537901,9.207602186828774,2.3495564473987485,3563.0041719319647,247.39327827500946
ARG,2002,2180.40431618398,214.7151,660.45559761376,58.3797364267002,216.90662137398235,2.643142881,6.518696748447811,2.3188431308685318,3113.95475022444,228.3873041342987
ARG,2003,2277.85667529585,192.9471,697.74625736608,56.6644733247418,226.6011820584312,2.375178801,6.88675556020321,2.250712880458744,3225.2145059866716,238.11382930009313
ARG,2004,2406.80385559004,209.9551,826.1916926064,55.1036182003423,239.42884755409716,2.5845472810000003,8.154512006025168,2.188715714917596,3498.054266396782,252.35662255603992
ARG,2005,2384.75803047319,240.6051,934.5250042046,52.502430401205,237.23572887147296,2.961848781,9.2237617914994,2.0853965355358626,3612.3905650789948,251.50673597950822
ARG,2006,2474.65994180921,298.7101,1086.65253285721,51.6526301564287,246.17917101118024,3.6771213310000004,10.725260499300662,2.051642469813348,3911.6752048228486,262.6331953112943
ARG,2007,2688.03966607774,307.5361,1160.8557314,53.0587697634682,267.4061859814136,3.785769391,11.457646068917999,2.1074943350049566,4209.490267241208,284.75709577633654
ARG,2008,2706.54416486304,304.8461,1273.1801,50.2101898171783,269.24701352057525,3.752655491,12.566287587,1.9943487395383221,4334.780554680219,287.56030533811355
ARG,2009,2722.01708993514,332.9531,1367.8201,47.7734201794308,270.78626010674776,4.098652661,13.500384386999999,1.8975602495269914,4470.563710114571,290.28285740427475
